timeStamp,elapsed,label,grpThreads,allThreads
1685177245207,32093,192.168.1.204 Memory,0,0
1685177245207,3490,192.168.1.204 CPU,0,0
1685177246219,32093,192.168.1.204 Memory,0,0
1685177246219,781,192.168.1.204 CPU,0,0
1685177247227,32064,192.168.1.204 Memory,0,0
1685177247227,1175,192.168.1.204 CPU,0,0
1685177248240,32039,192.168.1.204 Memory,0,0
1685177248240,771,192.168.1.204 CPU,0,0
1685177249243,32039,192.168.1.204 Memory,0,0
1685177249243,1200,192.168.1.204 CPU,0,0
1685177250661,31560,192.168.1.204 Memory,0,0
1685177250661,27883,192.168.1.204 CPU,0,0
1685177251663,32639,192.168.1.204 Memory,0,0
1685177251663,99203,192.168.1.204 CPU,0,0
1685177252677,32845,192.168.1.204 Memory,0,0
1685177252677,95314,192.168.1.204 CPU,0,0
1685177253693,33410,192.168.1.204 Memory,0,0
1685177253693,99218,192.168.1.204 CPU,0,0
1685177254702,33515,192.168.1.204 Memory,0,0
1685177254702,97295,192.168.1.204 CPU,0,0
1685177255716,33679,192.168.1.204 Memory,0,0
1685177255716,99610,192.168.1.204 CPU,0,0
1685177256730,33946,192.168.1.204 Memory,0,0
1685177256730,99620,192.168.1.204 CPU,0,0
1685177257741,34354,192.168.1.204 Memory,0,0
1685177257741,98853,192.168.1.204 CPU,0,0
1685177258742,34668,192.168.1.204 Memory,0,0
1685177258742,90193,192.168.1.204 CPU,0,0
1685177259756,34991,192.168.1.204 Memory,0,0
1685177259756,98885,192.168.1.204 CPU,0,0
1685177260759,34817,192.168.1.204 Memory,0,0
1685177260759,99200,192.168.1.204 CPU,0,0
1685177261760,35212,192.168.1.204 Memory,0,0
1685177261760,72127,192.168.1.204 CPU,0,0
1685177262767,34997,192.168.1.204 Memory,0,0
1685177262767,49987,192.168.1.204 CPU,0,0
1685177263780,34602,192.168.1.204 Memory,0,0
1685177263780,35657,192.168.1.204 CPU,0,0
1685177264790,34500,192.168.1.204 Memory,0,0
1685177264790,28900,192.168.1.204 CPU,0,0
1685177265801,34292,192.168.1.204 Memory,0,0
1685177265801,20300,192.168.1.204 CPU,0,0
