timeStamp,elapsed,label,grpThreads,allThreads
1685177369101,32142,192.168.1.204 Memory,0,0
1685177369102,53493,192.168.1.204 CPU,0,0
1685177370117,32123,192.168.1.204 Memory,0,0
1685177370117,51587,192.168.1.204 CPU,0,0
1685177371120,32089,192.168.1.204 Memory,0,0
1685177371120,51157,192.168.1.204 CPU,0,0
1685177372130,32070,192.168.1.204 Memory,0,0
1685177372130,50775,192.168.1.204 CPU,0,0
1685177373130,32145,192.168.1.204 Memory,0,0
1685177373130,62890,192.168.1.204 CPU,0,0
1685177374144,31900,192.168.1.204 Memory,0,0
1685177374144,92048,192.168.1.204 CPU,0,0
1685177375159,31874,192.168.1.204 Memory,0,0
1685177375159,98496,192.168.1.204 CPU,0,0
1685177376182,32149,192.168.1.204 Memory,0,0
1685177376182,98841,192.168.1.204 CPU,0,0
1685177377184,32095,192.168.1.204 Memory,0,0
1685177377185,98875,192.168.1.204 CPU,0,0
1685177378213,32241,192.168.1.204 Memory,0,0
1685177378213,97426,192.168.1.204 CPU,0,0
1685177379218,32188,192.168.1.204 Memory,0,0
1685177379218,98460,192.168.1.204 CPU,0,0
1685177380237,32032,192.168.1.204 Memory,0,0
1685177380237,98473,192.168.1.204 CPU,0,0
1685177381250,32221,192.168.1.204 Memory,0,0
1685177381250,99230,192.168.1.204 CPU,0,0
