timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685176561994,29924,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176561994,639,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176563003,29924,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176563003,799,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176564014,29924,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176564014,0,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176565025,29924,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176565025,0,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176566199,29641,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176566199,3885,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176567212,28629,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176567213,77809,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176568334,28865,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176568334,99598,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176569394,29002,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176569394,98838,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176570398,29228,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176570398,98851,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176571402,29303,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176571402,99627,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176572468,29716,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176572468,78740,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176573472,29866,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176573472,68336,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176574488,29911,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176574488,56039,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176575496,30327,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176575496,98143,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
1685176576505,30495,192.168.1.204 Memory,,,,,true,,0,0,0,0,null,0,0,0
1685176576505,49637,192.168.1.204 CPU,,,,,true,,0,0,0,0,null,0,0,0
