timeStamp,elapsed,label,grpThreads,allThreads
1685176739784,30883,192.168.1.204 Memory,0,0
1685176739784,1845,192.168.1.204 CPU,0,0
1685176740796,30883,192.168.1.204 Memory,0,0
1685176740796,775,192.168.1.204 CPU,0,0
1685176741807,30881,192.168.1.204 Memory,0,0
1685176741807,0,192.168.1.204 CPU,0,0
1685176742821,30881,192.168.1.204 Memory,0,0
1685176742821,372,192.168.1.204 CPU,0,0
1685176744144,30881,192.168.1.204 Memory,0,0
1685176744144,375,192.168.1.204 CPU,0,0
1685176745151,29375,192.168.1.204 Memory,0,0
1685176745151,29204,192.168.1.204 CPU,0,0
1685176746159,29887,192.168.1.204 Memory,0,0
1685176746159,97712,192.168.1.204 CPU,0,0
1685176747171,30108,192.168.1.204 Memory,0,0
1685176747171,98847,192.168.1.204 CPU,0,0
1685176748172,30153,192.168.1.204 Memory,0,0
1685176748172,98491,192.168.1.204 CPU,0,0
1685176749181,30535,192.168.1.204 Memory,0,0
1685176749181,99212,192.168.1.204 CPU,0,0
1685176750189,30742,192.168.1.204 Memory,0,0
1685176750189,97327,192.168.1.204 CPU,0,0
1685176751200,30738,192.168.1.204 Memory,0,0
1685176751201,100000,192.168.1.204 CPU,0,0
1685176752210,30798,192.168.1.204 Memory,0,0
1685176752210,98455,192.168.1.204 CPU,0,0
1685176753222,30814,192.168.1.204 Memory,0,0
1685176753222,98869,192.168.1.204 CPU,0,0
