timeStamp,elapsed,label,grpThreads,allThreads
1685178684194,35245,192.168.1.204 Memory,0,0
1685178684195,1437,192.168.1.204 CPU,0,0
1685178685202,35242,192.168.1.204 Memory,0,0
1685178685202,1145,192.168.1.204 CPU,0,0
1685178686212,35241,192.168.1.204 Memory,0,0
1685178686212,1200,192.168.1.204 CPU,0,0
1685178687225,35241,192.168.1.204 Memory,0,0
1685178687225,750,192.168.1.204 CPU,0,0
1685178688225,35246,192.168.1.204 Memory,0,0
1685178688225,15460,192.168.1.204 CPU,0,0
1685178689234,35246,192.168.1.204 Memory,0,0
1685178689234,58064,192.168.1.204 CPU,0,0
1685178690245,34825,192.168.1.204 Memory,0,0
1685178690245,57139,192.168.1.204 CPU,0,0
1685178691252,34703,192.168.1.204 Memory,0,0
1685178691252,61484,192.168.1.204 CPU,0,0
1685178692263,34704,192.168.1.204 Memory,0,0
1685178692263,67835,192.168.1.204 CPU,0,0
1685178693265,34704,192.168.1.204 Memory,0,0
1685178693265,65873,192.168.1.204 CPU,0,0
1685178694275,34703,192.168.1.204 Memory,0,0
1685178694275,67177,192.168.1.204 CPU,0,0
1685178695285,34703,192.168.1.204 Memory,0,0
1685178695285,19529,192.168.1.204 CPU,0,0
1685178696295,34703,192.168.1.204 Memory,0,0
1685178696295,54855,192.168.1.204 CPU,0,0
1685178697308,34703,192.168.1.204 Memory,0,0
1685178697308,60139,192.168.1.204 CPU,0,0
