timeStamp,elapsed,label,grpThreads,allThreads
1685178588055,33429,192.168.1.204 Memory,0,0
1685178588055,9804,192.168.1.204 CPU,0,0
1685178589069,33343,192.168.1.204 Memory,0,0
1685178589069,806,192.168.1.204 CPU,0,0
1685178590078,33345,192.168.1.204 Memory,0,0
1685178590078,747,192.168.1.204 CPU,0,0
1685178591079,33268,192.168.1.204 Memory,0,0
1685178591079,747,192.168.1.204 CPU,0,0
1685178592349,33280,192.168.1.204 Memory,0,0
1685178592349,22559,192.168.1.204 CPU,0,0
1685178593350,33901,192.168.1.204 Memory,0,0
1685178593350,90898,192.168.1.204 CPU,0,0
1685178594359,35120,192.168.1.204 Memory,0,0
1685178594359,97326,192.168.1.204 CPU,0,0
1685178595402,35747,192.168.1.204 Memory,0,0
1685178595403,93800,192.168.1.204 CPU,0,0
1685178596426,36034,192.168.1.204 Memory,0,0
1685178596426,63548,192.168.1.204 CPU,0,0
1685178597435,35866,192.168.1.204 Memory,0,0
1685178597435,82303,192.168.1.204 CPU,0,0
1685178598440,36818,192.168.1.204 Memory,0,0
1685178598440,98118,192.168.1.204 CPU,0,0
1685178599451,35699,192.168.1.204 Memory,0,0
1685178599451,73339,192.168.1.204 CPU,0,0
1685178600466,34740,192.168.1.204 Memory,0,0
1685178600466,72848,192.168.1.204 CPU,0,0
1685178601467,35643,192.168.1.204 Memory,0,0
1685178601467,96851,192.168.1.204 CPU,0,0
1685178602467,36367,192.168.1.204 Memory,0,0
1685178602467,62422,192.168.1.204 CPU,0,0
