timeStamp,elapsed,label,grpThreads,allThreads
1685178119315,27383,192.168.1.204 Memory,0,0
1685178119315,1692,192.168.1.204 CPU,0,0
1685178120329,27383,192.168.1.204 Memory,0,0
1685178120329,0,192.168.1.204 CPU,0,0
1685178121340,27383,192.168.1.204 Memory,0,0
1685178121340,1550,192.168.1.204 CPU,0,0
1685178122353,27382,192.168.1.204 Memory,0,0
1685178122353,403,192.168.1.204 CPU,0,0
1685178123600,27380,192.168.1.204 Memory,0,0
1685178123600,0,192.168.1.204 CPU,0,0
1685178124608,27360,192.168.1.204 Memory,0,0
1685178124608,51347,192.168.1.204 CPU,0,0
1685178125619,27360,192.168.1.204 Memory,0,0
1685178125619,95528,192.168.1.204 CPU,0,0
1685178126635,27598,192.168.1.204 Memory,0,0
1685178126635,91979,192.168.1.204 CPU,0,0
1685178127649,27550,192.168.1.204 Memory,0,0
1685178127649,95438,192.168.1.204 CPU,0,0
1685178128664,27474,192.168.1.204 Memory,0,0
1685178128664,99218,192.168.1.204 CPU,0,0
1685178129672,27611,192.168.1.204 Memory,0,0
1685178129672,99218,192.168.1.204 CPU,0,0
1685178130675,27517,192.168.1.204 Memory,0,0
1685178130675,91887,192.168.1.204 CPU,0,0
1685178131689,27579,192.168.1.204 Memory,0,0
1685178131689,75839,192.168.1.204 CPU,0,0
1685178132699,27599,192.168.1.204 Memory,0,0
1685178132699,90622,192.168.1.204 CPU,0,0
