timeStamp,elapsed,label,grpThreads,allThreads
1685183662223,27654,192.168.1.204 Memory,0,0
1685183662224,1063,192.168.1.204 CPU,0,0
1685183663232,27654,192.168.1.204 Memory,0,0
1685183663232,400,192.168.1.204 CPU,0,0
1685183664233,27654,192.168.1.204 Memory,0,0
1685183664233,799,192.168.1.204 CPU,0,0
1685183665234,27654,192.168.1.204 Memory,0,0
1685183665234,1174,192.168.1.204 CPU,0,0
1685183666234,27860,192.168.1.204 Memory,0,0
1685183666234,20937,192.168.1.204 CPU,0,0
1685183667571,28262,192.168.1.204 Memory,0,0
1685183667571,22475,192.168.1.204 CPU,0,0
1685183668592,29505,192.168.1.204 Memory,0,0
1685183668592,39620,192.168.1.204 CPU,0,0
1685183669598,29841,192.168.1.204 Memory,0,0
1685183669598,33472,192.168.1.204 CPU,0,0
1685183670600,30247,192.168.1.204 Memory,0,0
1685183670600,30647,192.168.1.204 CPU,0,0
1685183671601,31316,192.168.1.204 Memory,0,0
1685183671601,38899,192.168.1.204 CPU,0,0
1685183672603,35448,192.168.1.204 Memory,0,0
1685183672603,57649,192.168.1.204 CPU,0,0
1685183673607,36089,192.168.1.204 Memory,0,0
1685183673607,51155,192.168.1.204 CPU,0,0
1685183674611,36209,192.168.1.204 Memory,0,0
1685183674611,43184,192.168.1.204 CPU,0,0
1685183675613,32934,192.168.1.204 Memory,0,0
1685183675613,45313,192.168.1.204 CPU,0,0
1685183676619,29002,192.168.1.204 Memory,0,0
1685183676619,41329,192.168.1.204 CPU,0,0
1685183677633,29545,192.168.1.204 Memory,0,0
1685183677633,35113,192.168.1.204 CPU,0,0
1685183678651,29660,192.168.1.204 Memory,0,0
1685183678651,35026,192.168.1.204 CPU,0,0
1685183679652,29096,192.168.1.204 Memory,0,0
1685183679652,35941,192.168.1.204 CPU,0,0
1685183680658,29707,192.168.1.204 Memory,0,0
1685183680658,37038,192.168.1.204 CPU,0,0
1685183681664,28769,192.168.1.204 Memory,0,0
1685183681664,38976,192.168.1.204 CPU,0,0
