timeStamp,elapsed,label,grpThreads,allThreads
1685175050336,27560,192.168.1.204 Memory,0,0
1685175050336,849,192.168.1.204 CPU,0,0
1685175051350,27560,192.168.1.204 Memory,0,0
1685175051350,775,192.168.1.204 CPU,0,0
1685175052363,27559,192.168.1.204 Memory,0,0
1685175052363,778,192.168.1.204 CPU,0,0
1685175053375,26197,192.168.1.204 Memory,0,0
1685175053375,6625,192.168.1.204 CPU,0,0
1685175054433,26122,192.168.1.204 Memory,0,0
1685175054433,5520,192.168.1.204 CPU,0,0
1685175055433,26542,192.168.1.204 Memory,0,0
1685175055433,35096,192.168.1.204 CPU,0,0
1685175056437,27123,192.168.1.204 Memory,0,0
1685175056437,36977,192.168.1.204 CPU,0,0
1685175057450,27364,192.168.1.204 Memory,0,0
1685175057450,31897,192.168.1.204 CPU,0,0
1685175058465,27304,192.168.1.204 Memory,0,0
1685175058465,38600,192.168.1.204 CPU,0,0
1685175059478,27247,192.168.1.204 Memory,0,0
1685175059478,35276,192.168.1.204 CPU,0,0
1685175060493,27429,192.168.1.204 Memory,0,0
1685175060493,35680,192.168.1.204 CPU,0,0
1685175061495,27514,192.168.1.204 Memory,0,0
1685175061495,36740,192.168.1.204 CPU,0,0
1685175062497,27514,192.168.1.204 Memory,0,0
1685175062497,32773,192.168.1.204 CPU,0,0
1685175063503,27387,192.168.1.204 Memory,0,0
1685175063503,39930,192.168.1.204 CPU,0,0
1685175064505,27499,192.168.1.204 Memory,0,0
1685175064505,32425,192.168.1.204 CPU,0,0
